Latitude,Longitude,Avg_sot_1,Avg_sot_2,Avg_sot_3
44.034503447470335,20.965338764479327,292.9228507147895,284.076414320204,287.8621317545573
44.01790005473605,21.1006379535973,291.9087965223524,283.6807505289714,287.906982421875
44.00112634725506,21.235855717161428,292.9408704969618,284.3712641398112,287.95604451497394
43.984182491213524,21.3709912975834,294.10806528727215,285.3073281182183,288.01279703776044
43.96706865435238,21.506043940215392,290.6388456556532,283.41461690266925,288.0773518880208
43.94978500596202,21.641012893371425,287.6048109266493,280.8670357598199,288.1498616536458
43.93233171687664,21.775897408348555,287.4105461968316,280.4856601291233,288.2232360839844
43.91470895946888,21.91069673944793,290.55401780870227,282.59496137830945,288.26953125
43.89691690764411,22.045410143995383,292.2225070529514,283.46849144829645,288.3158009847005
43.87895573683486,22.180036882361833,292.8636779785156,283.9743008083767,288.3620351155599
