,Unnamed: 0,Latitude,Longitude,avg_t2m,avg_vsw_0,avg_vsw_1,avg_tciwv,avg_r2,avg_voltso,avg_orog,avg_sot1,avg_sot2,avg_sot3,avg_vwiltm_0
52,52,43.66080151,21.32385713,291.3749873,0.196623294,0.250586114,17.72547354,48.2769991,0.25240159,184.40503,294.3971473,284.9601169,287.4192149,0.125127196
53,53,43.65206695,21.39073856,290.9910355,0.133032387,0.154836977,17.51214188,48.94279771,0.236041948,211.61694,293.3596378,284.614947,287.5508575,0.118645564
54,54,43.64328927,21.45759836,291.1134313,0.133032387,0.154836977,17.51214188,48.30450561,0.258253753,264.2942,293.3596378,284.614947,287.5508575,0.1413012
55,55,43.6344685,21.52443641,291.0737449,0.159671839,0.196474624,17.01739221,48.43927129,0.272702813,261.03442,292.4041646,284.1289698,287.6902771,0.159450218
56,56,43.86708482,20.06007177,289.5327835,0.147062118,0.161274092,15.8238018,53.4903779,0.272105217,427.47827,292.3845842,282.8574092,286.7027791,0.153108239
57,57,43.85916598,20.12740475,289.5213089,0.147062118,0.161274092,15.8238018,53.40894344,0.272105217,441.41284,292.3845842,282.8574092,286.7027791,0.153108239
58,58,43.85120356,20.19471789,289.579333,0.154363193,0.167535728,15.94649165,55.24721384,0.272105217,477.77563,292.1733136,282.7539088,286.7200216,0.153108239
59,59,43.84319758,20.26201112,289.6112883,0.154363193,0.167535728,15.94649165,55.08629804,0.311257839,489.81567,292.1733136,282.7539088,286.7200216,0.182235241
60,60,43.83514806,20.32928431,289.7945565,0.153306788,0.164815097,16.13886397,53.3848549,0.272105217,459.69116,291.7562434,282.8452911,286.7785695,0.153108239
61,61,43.82705503,20.39653738,290.2519404,0.153306788,0.164815097,16.13886397,51.34617228,0.289189816,388.15015,291.7562434,282.8452911,286.7785695,0.170170277
62,62,43.81891849,20.46377023,290.3127586,0.13830577,0.149096308,16.59946545,50.79191891,0.345746279,266.97485,294.1513638,284.0840191,286.8511098,0.218968496
63,63,43.81073848,20.53098275,291.6040726,0.13830577,0.149096308,16.59946545,47.60729435,0.380893409,188.69165,294.1513638,284.0840191,286.8511098,0.246320426
64,64,43.80251502,20.59817485,291.30066,0.138725135,0.152063895,16.82585995,47.81606171,0.312470913,250.6936,294.6273677,284.4435162,286.9267883,0.18650277
